Date,Day,Month,Year,Customer_Age,Age_Group,Age_Group_NUMBER,Customer_Gender,Country,Product_Category,Order_Quantity,Unit_Cost,Unit_Price,Profit,Revenue
1/1/2017,1,January,2017,17,Youth (<25),1,M,canada,Bikes,2,1519,2443,1848,4886
1/1/2017,1,January,2017,23,Youth (<25),1,M,Australia,Bikes,2,1252,2295,2086,4590
1/1/2017,1,January,2017,33,Young Adults (25-34),1,F,France,Bikes,2,2171,3578,2814,7156
1/1/2017,1,January,2017,39,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
1/1/2017,1,January,2017,42,Adults (35-64),1,M,United States,Bikes,2,344,540,392,1080
1/1/2017,2,January,2017,32,Young Adults (25-34),1,M,United Kingdom,Bikes,2,713,1120,814,2240
1/1/2017,2,January,2017,35,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
1/1/2017,2,January,2017,40,Adults (35-64),1,M,Australia,Bikes,2,713,1120,814,2240
1/1/2017,2,January,2017,41,Adults (35-64),1,F,Australia,Bikes,2,1555,2443,1776,4886
1/1/2017,3,January,2017,28,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1252,2295,2086,4590
1/1/2017,3,January,2017,29,Young Adults (25-34),1,F,United States,Bikes,2,1266,2320,2108,4640
1/1/2017,3,January,2017,38,Adults (35-64),1,M,United Kingdom,Bikes,2,1266,2320,2108,4640
1/1/2017,3,January,2017,39,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
1/1/2017,3,January,2017,42,Adults (35-64),1,F,Australia,Bikes,2,344,540,392,1080
1/1/2017,3,January,2017,45,Adults (35-64),1,F,Australia,Bikes,2,344,540,392,1080
1/1/2017,3,January,2017,45,Adults (35-64),1,M,canada,Bikes,2,344,540,392,1080
1/1/2017,3,January,2017,47,Adults (35-64),1,M,Australia,Bikes,2,713,1120,814,2240
1/1/2017,4,January,2017,28,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1252,2295,2086,4590
1/1/2017,4,January,2017,33,Young Adults (25-34),1,F,France,Bikes,2,2171,3578,2814,7156
1/1/2017,4,January,2017,36,Adults (35-64),1,F,United States,Bikes,2,487,783,592,1566
1/1/2017,4,January,2017,38,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
1/1/2017,4,January,2017,39,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
1/1/2017,5,January,2017,27,Young Adults (25-34),1,M,Germany,Bikes,2,1083,1701,10000,3402
1/1/2017,5,January,2017,37,Adults (35-64),1,M,United States,Bikes,2,487,783,592,1566
1/1/2017,5,January,2017,51,Adults (35-64),1,M,canada,Bikes,2,487,783,592,1566
1/1/2017,6,January,2017,19,Youth (<25),1,F,canada,Bikes,2,2171,3578,2814,7156
6/1/2017,6,January,2017,26,Young Adults (25-34),1,F,canada,Bikes,2,295,540,490,1080
6/1/2017,6,January,2017,34,Young Adults (25-34),1,M,United States,Bikes,2,344,540,392,1080
6/1/2017,6,January,2017,35,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
6/1/2017,6,January,2017,44,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
6/1/2017,6,January,2017,48,Adults (35-64),1,M,canada,Bikes,2,344,540,392,1080
7/1/2017,7,January,2017,18,Youth (<25),1,F,Australia,Bikes,2,344,540,392,1080
7/1/2017,7,January,2017,28,Young Adults (25-34),1,M,Australia,Bikes,2,1083,1701,1236,3402
7/1/2017,7,January,2017,31,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1083,1701,1236,3402
7/1/2017,7,January,2017,41,Adults (35-64),1,F,United Kingdom,Bikes,2,713,1120,814,2240
8/1/2017,8,January,2017,27,Young Adults (25-34),1,F,Australia,Bikes,2,1252,2295,2086,4590
8/1/2017,8,January,2017,31,Young Adults (25-34),1,F,United States,Bikes,2,2171,3578,2814,7156
8/1/2017,8,January,2017,34,Young Adults (25-34),1,F,United States,Bikes,2,1252,2295,2086,4590
8/1/2017,8,January,2017,34,Young Adults (25-34),1,M,Australia,Bikes,2,1083,1701,1236,3402
8/1/2017,8,January,2017,35,Adults (35-64),1,F,United States,Bikes,2,713,1120,814,2240
8/1/2017,8,January,2017,35,Adults (35-64),1,M,United States,Bikes,2,2171,3578,2814,7156
8/1/2017,8,January,2017,39,Adults (35-64),1,M,Australia,Bikes,2,1083,1701,1236,3402
8/1/2017,8,January,2017,40,Adults (35-64),1,M,United States,Bikes,2,487,783,12000,1566
9/1/2017,9,January,2017,17,Youth (<25),1,F,canada,Bikes,2,1083,1701,1236,3402
9/1/2017,9,January,2017,28,Young Adults (25-34),1,M,Australia,Bikes,2,1083,1701,1236,3402
9/1/2017,9,January,2017,30,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
9/1/2017,9,January,2017,34,Young Adults (25-34),1,M,United States,Bikes,2,2171,3578,2814,7156
9/1/2019,9,January,2019,39,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,12000
9/1/2019,6,February,2019,44,Adults (35-64),1,M,United States,Bikes,2,344,540,392,10000
9/1/2019,7,February,2019,27,Young Adults (25-34),1,M,Australia,Bikes,2,1555,2443,1776,13567
9/1/2019,7,February,2019,29,Young Adults (25-34),1,M,Australia,Bikes,2,713,1120,814,2240
9/1/2019,7,February,2019,30,Young Adults (25-34),1,M,Australia,Bikes,2,420,769,698,1538
7/2/2017,7,February,2017,34,Young Adults (25-34),1,F,United States,Bikes,2,1912,3400,2976,6800
7/2/2017,7,February,2017,40,Adults (35-64),1,M,United States,Bikes,2,713,1120,814,2240
7/2/2017,7,February,2017,46,Adults (35-64),1,F,United States,Bikes,2,2171,3578,2814,7156
8/2/2017,8,February,2017,22,Youth (<25),1,F,United Kingdom,Bikes,2,1266,2320,2108,4640
8/2/2017,8,February,2017,32,Young Adults (25-34),1,F,United States,Bikes,2,487,783,592,1566
8/2/2017,8,February,2017,34,Young Adults (25-34),1,F,Australia,Bikes,2,1555,2443,1776,4886
8/2/2017,8,February,2017,53,Adults (35-64),1,F,Germany,Bikes,2,1519,2443,1848,4886
9/2/2017,9,February,2017,35,Adults (35-64),1,F,Australia,Bikes,2,1083,1701,1236,3402
9/2/2017,9,February,2017,37,Adults (35-64),1,M,United Kingdom,Bikes,2,1083,1701,1236,3402
9/2/2017,9,February,2017,38,Adults (35-64),1,F,United Kingdom,Bikes,2,1519,2443,1848,4886
23-05-17,23,May,2017,23,Youth (<25),1,M,canada,Bikes,2,1555,2443,1776,4886
23-05-17,23,May,2017,24,Youth (<25),1,M,Australia,Bikes,2,1555,2443,1776,4886
23-05-17,23,May,2017,32,Young Adults (25-34),1,M,United States,Bikes,2,1252,2295,2086,4590
